,date,precipitation,avg_temp,lowest_temp,highest_temp,is_rain,is_snow,is_holiday
187,2021-07-07,33.7,24.4,22.2,27.2,True,False,False
188,2021-07-08,23.2,24.6,22.1,28.5,True,False,False
189,2021-07-09,6.8,24.5,22.0,28.7,True,False,False
190,2021-07-10,6.5,24.7,21.8,29.5,True,False,True
191,2021-07-11,2.5,25.3,21.9,30.0,True,False,True
192,2021-07-12,0.4,26.7,22.8,32.0,True,False,False
193,2021-07-13,0.0,27.4,23.4,32.1,False,False,False
194,2021-07-14,0.0,27.6,23.9,32.1,False,False,False
195,2021-07-15,2.7,26.9,23.2,32.4,True,False,False
196,2021-07-16,4.4,26.1,22.2,32.1,True,False,False
197,2021-07-17,2.1,25.6,21.7,30.3,True,False,True
198,2021-07-18,2.8,26.0,22.1,31.1,True,False,True
199,2021-07-19,3.9,26.0,22.7,30.8,True,False,False
200,2021-07-20,0.2,26.8,23.1,31.5,True,False,False
201,2021-07-21,0.0,27.4,22.4,33.1,False,False,False
202,2021-07-22,0.0,27.2,22.2,32.7,False,False,False
203,2021-07-23,0.0,27.5,22.6,33.0,False,False,False
204,2021-07-24,0.0,27.7,23.3,33.0,False,False,True
205,2021-07-25,0.0,27.6,23.1,32.6,False,False,True
206,2021-07-26,0.1,27.5,22.9,32.7,True,False,False
207,2021-07-27,0.2,27.6,22.4,33.3,True,False,False
208,2021-07-28,0.5,27.6,22.8,33.1,True,False,False
209,2021-07-29,0.0,27.6,23.1,33.0,False,False,False
210,2021-07-30,0.8,28.0,23.3,33.5,True,False,False
211,2021-07-31,3.8,28.3,24.5,33.5,True,False,True
212,2021-08-01,18.4,26.9,24.3,31.9,True,False,True
213,2021-08-02,10.7,26.3,24.1,30.3,True,False,False
214,2021-08-03,8.1,27.0,23.6,31.5,True,False,False
215,2021-08-04,0.1,28.0,23.9,33.1,True,False,False
216,2021-08-05,0.1,28.4,23.8,33.9,True,False,False
217,2021-08-06,3.1,27.6,23.4,33.9,True,False,False
218,2021-08-07,3.6,27.2,22.6,33.1,True,False,True
219,2021-08-08,9.1,25.3,22.7,29.4,True,False,True
220,2021-08-09,4.3,26.2,21.9,31.4,True,False,False
221,2021-08-10,7.1,25.0,21.8,29.7,True,False,False
222,2021-08-11,0.8,25.5,21.6,30.8,True,False,False
223,2021-08-12,0.6,25.4,21.7,30.3,True,False,False
224,2021-08-13,0.9,24.9,22.0,28.7,True,False,False
225,2021-08-14,10.2,23.5,21.2,27.1,True,False,True
226,2021-08-15,1.1,24.1,19.9,29.0,True,False,True
227,2021-08-16,0.9,24.3,20.5,28.7,True,False,True
228,2021-08-17,5.3,23.8,20.2,28.3,True,False,False
229,2021-08-18,7.4,23.0,19.8,27.8,True,False,False
230,2021-08-19,3.5,23.2,19.6,28.3,True,False,False
231,2021-08-20,0.5,24.4,19.8,29.5,True,False,False
232,2021-08-21,46.9,23.4,21.3,25.9,True,False,True
233,2021-08-22,0.2,24.6,21.4,28.6,True,False,True
234,2021-08-23,44.5,22.4,20.9,24.6,True,False,False
235,2021-08-24,38.3,24.0,21.4,27.1,True,False,False
236,2021-08-25,21.9,23.7,22.0,26.0,True,False,False
237,2021-08-26,0.4,24.9,21.2,29.6,True,False,False
238,2021-08-27,14.8,22.6,20.0,26.2,True,False,False
239,2021-08-28,0.3,23.6,19.8,28.6,True,False,True
240,2021-08-29,11.5,23.0,20.4,26.9,True,False,True
241,2021-08-30,0.4,23.5,20.5,27.9,True,False,False
242,2021-08-31,14.5,22.9,20.1,27.1,True,False,False
243,2021-09-01,38.5,22.3,20.0,24.9,True,False,False
244,2021-09-02,1.8,21.7,19.3,24.7,True,False,False
245,2021-09-03,1.1,21.7,18.4,26.0,True,False,False
246,2021-09-04,0.1,21.5,17.2,26.6,True,False,True
247,2021-09-05,1.1,21.0,17.6,24.8,True,False,True
248,2021-09-06,9.7,20.9,18.1,24.3,True,False,False
249,2021-09-07,11.4,21.0,18.7,23.6,True,False,False
250,2021-09-08,0.6,21.9,18.5,26.8,True,False,False
251,2021-09-09,0.0,21.8,17.1,27.8,False,False,False
252,2021-09-10,0.5,21.8,18.7,26.3,True,False,False
253,2021-09-11,0.0,22.8,18.5,29.0,False,False,True
254,2021-09-12,0.0,22.8,17.9,28.9,False,False,True
255,2021-09-13,0.2,22.6,19.0,26.8,True,False,False
256,2021-09-14,3.0,21.6,18.3,25.2,True,False,False
257,2021-09-15,0.1,22.1,18.0,27.1,True,False,False
258,2021-09-16,0.9,21.2,16.3,25.6,True,False,False
259,2021-09-17,15.7,20.4,18.0,23.7,True,False,False
260,2021-09-18,0.2,21.1,16.5,27.0,True,False,True
261,2021-09-19,0.0,21.2,16.7,26.8,False,False,True
262,2021-09-20,0.1,21.9,16.6,26.7,True,False,True
263,2021-09-21,25.8,21.9,18.9,25.7,True,False,True
264,2021-09-22,5.4,21.5,17.5,26.6,True,False,True
265,2021-09-23,0.0,20.0,15.6,25.5,False,False,False
266,2021-09-24,0.6,19.6,14.4,25.7,True,False,False
267,2021-09-25,1.2,20.1,16.4,23.9,True,False,True
268,2021-09-26,0.1,20.5,17.0,25.1,True,False,True
269,2021-09-27,0.1,20.5,16.9,25.1,True,False,False
270,2021-09-28,0.7,20.8,18.1,24.3,True,False,False
271,2021-09-29,22.6,21.1,19.0,24.3,True,False,False
272,2021-09-30,4.4,20.7,16.7,26.5,True,False,False
273,2021-10-01,1.1,20.2,15.4,27.1,True,False,False
274,2021-10-02,0.7,20.3,15.7,26.8,True,False,True
275,2021-10-03,0.0,21.2,15.3,28.6,False,False,True
276,2021-10-04,2.5,22.6,17.1,27.8,True,False,True
277,2021-10-05,1.5,22.3,18.1,28.0,True,False,False
278,2021-10-06,3.7,20.4,17.2,24.7,True,False,False
279,2021-10-07,1.5,20.3,17.1,24.7,True,False,False
280,2021-10-08,1.7,20.0,18.0,22.8,True,False,False
281,2021-10-09,4.4,21.7,18.6,26.5,True,False,True
282,2021-10-10,5.0,22.2,17.5,27.8,True,False,True
283,2021-10-11,11.6,16.2,13.9,20.5,True,False,True
284,2021-10-12,3.8,16.4,14.9,18.2,True,False,False
285,2021-10-13,0.1,18.3,14.8,22.8,True,False,False
286,2021-10-14,0.0,19.0,14.8,24.8,False,False,False
287,2021-10-15,6.3,18.1,15.1,22.1,True,False,False
288,2021-10-16,6.1,12.7,6.6,17.1,True,False,True
289,2021-10-17,0.0,6.4,1.8,12.5,False,False,True
290,2021-10-18,0.3,8.9,1.1,16.7,True,False,False
291,2021-10-19,2.5,10.7,6.3,16.8,True,False,False
292,2021-10-20,0.0,8.9,4.0,15.6,False,False,False
293,2021-10-21,0.3,9.4,4.2,16.1,True,False,False
294,2021-10-22,0.4,9.8,4.5,16.6,True,False,False
295,2021-10-23,0.0,10.1,4.1,18.5,False,False,True
296,2021-10-24,0.0,10.4,4.4,18.6,False,False,True
297,2021-10-25,0.0,10.7,5.1,18.7,False,False,False
298,2021-10-26,0.0,11.3,4.6,19.1,False,False,False
299,2021-10-27,0.2,12.7,7.5,19.7,True,False,False
300,2021-10-28,0.0,11.5,4.6,19.8,False,False,False
301,2021-10-29,0.0,12.3,6.6,19.3,False,False,False
302,2021-10-30,0.1,11.8,7.6,17.8,True,False,True
